"No.","Time","Source","Destination","Protocol","Length","Info"
"7973","79.472802","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","Application Data"
"7975","79.479212","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Application Data, Application Data"
"7977","79.480065","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3710","Application Data, Application Data, Application Data"
"7978","79.480065","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","4918","Application Data, Application Data, Application Data, Application Data"
"7981","79.481921","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","Application Data"
"7982","79.481922","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data"
"7984","79.482556","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data"
"7986","79.483790","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data"
"7988","79.484507","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data"
"7990","79.485705","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data"
"7992","79.486384","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data"
"7994","79.486989","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","4630","Application Data, Application Data, Application Data, Application Data"
"7996","79.487986","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"7998","79.488896","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","4654","Application Data, Application Data, Application Data, Application Data"
"8000","79.489913","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data"
"8002","79.490334","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2141","Application Data, Application Data, Application Data, Application Data"
"8088","85.410455","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:811::2001","TLSv1.3","607","Client Hello (SNI=drive.usercontent.google.com)"
"8090","85.444691","2a00:1450:400e:811::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"8091","85.444692","2a00:1450:400e:811::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2364","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"8094","85.448061","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:811::2001","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"27555","116.007685","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:803::200a","TLSv1.3","622","Client Hello (SNI=peoplestackwebexperiments-pa.clients6.google.com)"
"27561","116.009990","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:803::200a","TLSv1.3","622","Client Hello (SNI=peoplestackwebexperiments-pa.clients6.google.com)"
"27569","116.017964","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3710","Server Hello, Change Cipher Spec"
"27571","116.017964","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2855","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"27575","116.018639","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:803::200a","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"27576","116.019492","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"27580","116.020852","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2855","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"27584","116.021220","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:803::200a","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"27829","125.480606","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:803::200a","TLSv1.3","606","Client Hello (SNI=safebrowsing.googleapis.com)"
"27831","125.498726","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"27833","125.498726","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","110","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"27837","125.508656","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:803::200a","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"27846","125.535763","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"27847","125.535763","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"27848","125.535763","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU]"
"27849","125.535929","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU]"
"27854","125.551072","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU]"
"27856","125.551072","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU]"
"27857","125.551072","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU]"
"27859","125.551183","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27863","125.565214","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27864","125.565214","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27865","125.565215","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27866","125.565215","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
